doc_id,text,p_green,u,llm_green_suggested,llm_confidence,llm_rationale,is_green_human,notes,human_notes
8975201,"1. A process for manufacturing a matrix for a thermostructural fibrous composite material, consisting of a mineral containing nanocrystalline cristobalite, wherein said process comprises the following steps: the geopolymer synthesis of potassium polysiloxonate K—(Si—O—Si—O)",0.5011216204376725,0.997756759124655,1,high,"This claim directly relates to “thermostructural fibrous composite material” manufacturing, which aligns with sustainable materials development. The use of “potassium polysiloxonate K—(Si—O—Si—O)” and “cristobalite” suggests a novel material production process, potentially reducing reliance on traditional, resource-intensive methods. Furthermore, the focus on a “geopolymer synthesis” indicates an environmentally conscious approach to material creation.",,,
9732596,"1. A method of commissioning at least one subsea hydrocarbon well terminating by a wellhead, from a petroleum drilling rig, wherein said method comprises: screwing double-walled pipe segments together in mutual succession to form a thermally insulated floor-to-surface link pipe comprising an inner pipe for transporting hydrocarbons, and an outer pipe, wherein a thermally insulating material is disposed between said inner and outer pipes; connecting said floor-to-surface link pipe to said wellhead; and extracting the hydrocarbons via said floor-to-surface link pipe to said drilling rig on the surface, wherein each of said double-walled pipe segments comprises: a single-walled connection and transport inner metal pipe, resistant to open-sea stresses and provided with first and second threaded reinforced ends; a female metal bayonet-piece disposed around said first threaded reinforced end, said female bayonet-piece comprising a cylindrical portion extended at one end by a narrower portion that is welded or otherwise bonded to a tightening portion of said first threaded reinforced end, and at the other end by a wider portion; a portion of said thermally insulating material disposed around the single-walled connection and said transport inner metal pipe segment and around said female bayonet-piece, an outer metal pipe provided with a narrower portion welded or otherwise bonded to a tightening portion of said second threaded reinforced end; and a metal cover-piece disposed around said female bayonet-piece, said cover-piece having a cylindrical portion welded or otherwise bonded at one end to the wider end portion of the female bayonet-piece, and being extended at the other end by a narrower portion welded or otherwise bonded to said outer pipe; each of said double-walled pipe segments being arranged in such a manner that tightening torque can be applied for screwing two adjacent double-walled pipe segments together by tightening tongs applied against said outer metal pipe of each of said two adjacent double-walled pipe segments.",0.5012169584190439,0.9975660831619122,0,high,"This claim describes a method for commissioning a subsea hydrocarbon well, focusing on the construction and connection of pipe segments. It does not relate to renewable energy, emission reduction, climate mitigation, or environmental protection; instead, it’s about the technical aspects of oil and gas extraction from a well. The terminology and focus are entirely centered on petroleum drilling operations.",,,
8661630,"1. A method of fabricating an implantable device, comprising: forming a coating on a surface of an implantable device, the coating comprising a semi-crystalline reservoir layer that comprises a bioactive agent and a biodegradable semi-crystalline polymer and an amorphous primer layer that comprises a biodegradable amorphous polymer; wherein the biodegradable amorphous polymer has a miscibility of at least 5% in the biodegradable semi-crystalline polymer; wherein the biodegradable semi-crystalline polymer is a semi-crystalline PLLA-GA-CL terpolymer with a content of L-lactide ranging from about 65 molar % or higher, or a combination of semi-crystalline PLLA-GA-CL terpolymers, each with a content of L-lactide ranging from about 65 molar % or higher; and wherein the biodegradable amorphous polymer is an amorphous PLLA-GA-CL terpolymer with a content of L-lactide of about 65 molar % or below, or a combination of amorphous PLLA-GA-CL terpolymers, each with a content of L-lactide of about 65 molar % or below.",0.498774200292039,0.997548400584078,1,medium,"This claim describes the fabrication of an implantable device using biodegradable polymers, specifically PLLA-GA-CL terpolymers. The use of “biodegradable” polymers directly relates to environmental sustainability and reducing reliance on non-renewable materials. While not explicitly addressing emission reduction or climate mitigation, the focus on biodegradable materials aligns with broader environmental protection efforts.",,,
9484843,"1. An electric circuit with one power amplifier for at least two piezoelectric actuators, the at least two piezoelectric actuators: being in antagonist arrangement connected mechanically in series and being connected electrically with each other through a first junction point between two first terminals of the piezoelectric actuators; being operated by the one power amplifier commanded by an input signal of a control circuit for time-variant energizing of the at least two piezoelectric actuators in push-pull fashion, the power amplifier having a first terminal which is grounded and a second terminal connected to the first junction point between such first terminals of the piezoelectric actuators; the electrical circuit further comprising a one-directional diode whose anode is connected to the first junction point and therefore to the second terminal of the power amplifier and to the first terminals of the at least two piezoelectric actuators; wherein:",0.5012730539890877,0.9974538920218246,0,low,"The claim describes an electric circuit utilizing piezoelectric actuators and a power amplifier in a “push-pull fashion.” While piezoelectric devices can be used in various applications, the description lacks any explicit connection to renewable energy, emission reduction, climate mitigation, or environmental protection. The circuit’s function – controlling actuators – doesn’t inherently relate to green technologies.",,,
9703511,"1. A method of performing an operation in a network including a first device and a second device, the method comprising: generating, by the first device, a request for the second device to perform a function of the second device; transmitting, by the first device, the request and information comprising at least one of manner of ending connection, time to start connection, time to end connection, time interval between connected status (ON) and disconnected status (OFF), and reception information of the first device, to the second device; determining, by the first device, whether data related to performing the function of the second device is to be transmitted to the second device from either the first device or a third device external to the first device; and controlling, by the first device, a network connection between the first device and the second device by selectively disconnecting the network connection according to the information and the determining, wherein the controlling the network connection between the first device and the second device includes: if the first device determines the data related to performing the function of the second device is to be transmitted to the second device from the third device external to the first device, disconnecting, by the first device, the first device from the second device after the first device transmits the request and the information to the second device, and if the first device determines the data related to performing the function of the second device is to be transmitted to the second device from the first device, maintaining, by the first device, the network connection between the first device and the second device during a corresponding operation of the second device.",0.4986815919036022,0.9973631838072043,0,low,"This claim describes a method for controlling network connections between devices, specifically regarding data transmission and connection management. It does not directly address sustainability, renewable energy, emission reduction, climate mitigation, or environmental protection. The focus is purely on optimizing network communication protocols.",,,
8770118,"1. An oxygen supplying apparatus of a melting furnace, the oxygen supplying apparatus comprising: a through hole formed in a wall of the melting furnace; an air cooling member having a pipe shape, passing through the through hole and extending inside and outside the melting furnace, the air cooling member having a first end and a second end, the first end being open to an outside of the melting furnace and allowing an outside air to enter into the air cooling member, the second end being closed in an inside of the melting furnace; an oxygen supplying member having a pipe shape and passing through the air cooling member, the oxygen supplying member being longer than the air cooling member and having a first end and a second end, the first end of the oxygen supplying member being open to introduce oxygen and extended out from the first end of the air cooling member, the second end of the oxygen supplying member being open to the inside of the melting furnace and extended out from the second end of the air cooling member, thereby allowing the oxygen to enter into the melting furnace; a plurality of connection units positioned between the air cooling member and the oxygen supplying member, the plurality of connection units fixing the oxygen supplying member in the air cooling member; a closing unit provided in the second end of the air cooling member, the closing unit closing an inside end of a space between an inner surface of the air cooling member and an outer surface of the oxygen supplying member such that the outside air entered into the space through the first end of the air cooling member circulates in the space; a lower fixing member mounted on an outer surface of the melting furnace, fixed on the outer surface of the melting furnace by a welding and having a hole in a center, the hole of the lower fixing member having a diameter greater than a diameter of the air cooling member such that an outer surface of the air cooling member does not directly contact with the inner surface of the hole of the lower fixing member, the hole of the lower fixing member being arranged to have the same central axis with the through hole of the melting furnace; and an upper fixing member mounted on the lower fixing member, fixed on the lower fixing member by a bolt and having a hole in a center, the upper fixing member fixing the air cooling member in the hole of the upper fixing member; a ring interposed between the lower fixing member and the upper fixing member to seal the melting furnace, wherein a diameter of the through hole of the wall of the melting furnace is greater than the diameter of the air cooling member such that the outer surface of the air cooling member does not directly contact with the inner surface of the through hole of the wall of the melting furnace, and wherein the space between the inner surface of the air cooling member and the outer surface of the oxygen supplying member includes only the connection units, and the oxygen supplying member includes nothing thereinside.",0.5013723368507965,0.997255326298407,1,medium,"This claim describes an oxygen supplying apparatus for a melting furnace, which directly relates to emission reduction. The apparatus introduces outside air and oxygen into the furnace, suggesting a method to control combustion and potentially reduce harmful emissions. Furthermore, the design minimizes direct contact between components, implying an effort to improve energy efficiency and reduce environmental impact.",,,
9485853,"1. A wiring substrate comprising a laminate of one or more insulation layers and one or more conductive layers, characterized by further comprising: a plurality of connection terminals formed directly on one of the one or more insulation layers of the laminate and spaced apart from one another, each having an indentation formed at an outer periphery of a first main surface opposite a contact surface in contact with the laminate; and a filling member provided in a filling manner between the connection terminals, wherein the filling member is a solder resist layer, wherein the connection terminals project at least partially from a surface of the filling member, wherein the laminate is covered with a solder resist layer having an opening from which the plurality of connection terminals are exposed, and covering a wiring pattern connected to the connection terminals, and wherein the plurality of connection terminals are disposed within the same opening.",0.5014246760542094,0.9971506478915813,0,low,"The claim describes a wiring substrate and its components, specifically a solder resist layer used to protect wiring connections. While solder resists are used in electronics, the claim doesn't directly relate to renewable energy, emission reduction, climate mitigation, or broader environmental protection. It focuses on the construction and protection of electrical components.",,,
8928526,"1. A method used on a satellite communication system, wherein the satellite communications system includes a satellite, at least one gateway terminal and a plurality of user terminals, the method comprising: measuring a total receive power of a signal received from the satellite under normal operating conditions; measuring one of a signal-only power and a signal-to-noise-plus-interference ratio (SINR) for a signal received from the satellite under normal operating conditions; measuring a total thermal noise component of the signal received from the satellite during a first quiet interval where uplink transmission from the at least one gateway and the plurality of user terminals have been disabled; measuring a first out-of-band downlink thermal noise component and a first in-band downlink thermal noise component while the satellite is in a transmission disabled state; determining a compensation factor using the first in-band downlink thermal noise component and the first out-of-band downlink thermal noise component; measuring a second out-of-band downlink thermal noise component while the satellite is under normal operating conditions; estimating a second in-band downlink thermal noise component of the signal received from the satellite by multiplying the second out-of-band downlink thermal noise component by the compensation factor; and calculating satellite communication system operating parameters during satellite operation using the total receive power, the signal-only power or the SINR, measurements of the total thermal noise component, and the second in-band downlink thermal noise component for monitoring the performance of the satellite communication system in which the satellite is operating.",0.5014579907940068,0.9970840184119864,0,low,"This claim describes a method for optimizing satellite communication system performance through noise measurement and compensation. It focuses on technical improvements within a satellite communication system and does not explicitly address sustainability, renewable energy, emission reduction, climate mitigation, or environmental protection. The claim details measurements and calculations related to signal quality, but lacks any connection to environmental factors.",,,
8607927,"1. A multilayer laminate for use as a flame barrier comprising (i) a first polymeric film layer capable of withstanding a temperature of at least 200 C for at least 10 min, (ii) a first adhesive layer having an areal weight of from 2 to 40 gsm capable of activation at a temperature of from 75 to 200 degrees C., (iii) an inorganic refractory layer, (iv) a second adhesive layer having an areal weight of from 2 to 40 gsm capable of activation at a temperature of from 75 to 200 degrees C., and (v) a second polymeric film layer capable of withstanding a temperature of at least 200 C for at least 10 min, wherein at least one of the first or second polymeric film layers is thermoplastic;",0.4984605521840292,0.9969211043680584,0,low,"The claim describes a flame barrier laminate, focusing on temperature resistance and material properties. While fire safety can be linked to environmental protection (e.g., reducing fire risk in buildings), the claim itself doesn't explicitly relate to renewable energy, emission reduction, climate mitigation, or broader sustainability efforts. It’s a materials science invention, not directly addressing environmental concerns.",,,
9449733,"1. A conductive ink composition, comprising: metal particles; a first solvent having a vapor pressure of 3 torr or less at 25° C.; a second solvent having a vapor pressure of more than 3 torr at 25° C.; and metal carboxylate; and a surfactant, wherein the conductive ink composition does not include a polymer binder or a release agent, and wherein the surfactant is a silicon-based, fluorine-based, or polyether-based surfactant.",0.4983272183171295,0.9966544366342592,1,medium,"This claim relates to a conductive ink composition, which could be used in applications related to renewable energy or emission reduction. The specification of solvents with low vapor pressures and the use of silicon-based, fluorine-based, or polyether-based surfactants suggests an effort to minimize volatile organic compounds (VOCs), aligning with environmental protection and potentially contributing to emission reduction.",,,
9683299,"1. A method of making a reinforced structural component, comprising: forming a precursor having a crystal structure with a plurality of lattice layers, wherein forming the precursor further includes forming a graphite crystal having a plurality of layers of carbon atoms, the layers being arranged along a longitudinal axis and separated from one another by a distance; implanting an interstitial exfoliation agent between at least some of the plurality of lattice layers; exfoliating the precursor with the implanted interstitial exfoliation agent at an exfoliating temperature; forming a surface support material around at least a portion of a circumference of the plurality of lattice layers in the exfoliated precursor wherein forming the surface support material includes attaching one or more layers of an adhesively coated graphite film to the plurality of lattice layers; coating the one or more graphite film with diamond-like carbon; and reordering the diamond-like carbon to graphite.",0.4982708654477601,0.9965417308955205,1,medium,"This claim describes a method for creating a reinforced structural component utilizing graphite and diamond-like carbon. The use of graphite layers, exfoliation, and coating with diamond-like carbon suggests a focus on material properties and potentially enhancing strength, which could be relevant to sustainable construction or durable materials. Furthermore, the process aims to create a structural component, aligning with broader environmental goals related to resource efficiency and longevity.",,,
9510426,"1. A lighting fixture to illuminate an environment, the lighting fixture comprising: A) a memory to store a first transfer function mapping a first ambient light level at a first position within the environment to a corresponding second ambient light level at a second position within the environment, wherein the first position is at the lighting fixture and the second position is at a task height within the environment; B) an ambient light sensor located at the first position within the environment to measure an actual ambient light level at the first position within the environment; C) a processor, communicatively coupled to the memory and the ambient light sensor, to determine: D) at least one light source, communicatively coupled to the processor, to generate the change in the light output of the lighting fixture so as to provide the desired ambient light level at the second position within the environment.",0.4982187623865377,0.9964375247730756,1,medium,"This claim describes a lighting fixture designed to adjust light output based on ambient light levels, suggesting an attempt to optimize energy use and potentially reduce the need for artificial light. The claim focuses on “providing the desired ambient light level,” which aligns with sustainability goals by minimizing energy consumption. While not explicitly stated, efficient lighting contributes to environmental protection and could be linked to broader climate mitigation efforts through reduced energy demand.",,,
9787709,"1. A system for managing operational risk in a network, comprising: an interface configured to: a hardware processor communicatively coupled to the interface, the processor configured to:",0.4981569702462414,0.9963139404924828,0,high,"The claim describes a “system for managing operational risk in a network.” This is a purely technical description of a system and does not relate to any environmental aspects, renewable energy, emission reduction, climate mitigation, or environmental protection. There are no keywords or phrases indicating a connection to sustainability or green technologies.",,,
9122206,1. A liquid toner composition comprising: (a) a carrier liquid; (b) particles comprising (c) a charge director.,0.4981503679217042,0.9963007358434084,0,low,"The claim describes a “liquid toner composition” which is a chemical formulation. While chemicals can be used in green technologies, the claim itself doesn't explicitly relate to sustainability, renewable energy, emission reduction, climate mitigation, or environmental protection. It simply defines the components of a toner.",,,
8458389,"1. An apparatus for converting an interface protocol, the apparatus comprising: a protocol converter to analyze a protocol of input protocol data, and to sequentially output a plurality of sub-data of the input protocol data according to types of the plurality of sub-data, to output the plurality of sub-data and a plurality of phase information representing the types of the plurality of sub-data; a phase channel line to transmit phase information received from the protocol converter among the plurality of phase information; and a data channel line to transmit the sub-data corresponding to the phase information when the phase information is transmitted to the phase channel line.",0.498120371668204,0.996240743336408,0,low,"This claim describes an apparatus for converting a protocol, which is a general technology. There is no explicit mention of renewable energy, emission reduction, climate mitigation, or environmental protection within the claim text. The description focuses on data transmission and protocol analysis, lacking any connection to green technologies.",,,
9257365,"1. A cooling assembly comprising: a heat transfer substrate having a surface; a first array of metal fibers bonded to the surface of the heat transfer substrate in a first direction; a second array of metal fibers bonded to the first array of metal fibers in a second direction, wherein:",0.5018940673421014,0.9962118653157972,1,medium,"The claim describes a “cooling assembly” with metal fibers, which suggests a process to manage heat. This aligns with sustainability efforts by potentially reducing energy consumption or waste heat, a common focus of green technologies. While not explicitly stated, cooling is often linked to emission reduction and climate mitigation by improving the efficiency of processes or equipment.",,,
8423232,"1. A vehicle control device having an actuator operative to prevent a movement of a vehicle and a shift operating device including a shift position detection means detecting a shift position, the vehicle control device outputting, when the shift operating device is shift-operated to a predetermined shift position to release prevention of the movement of the vehicle, a control signal for permitting the actuator to release the prevention of the movement of the vehicle, the vehicle control device comprising: an abnormality detecting means that detects an abnormality in at least part of the shift position detection means; a shift-operation determining means that determines, based on a detection signal from the shift position detection means, whether the shift operating device is shift-operated or not by a driver; and a vehicle movement prevention control means that, in a case where the movement of the vehicle is prevented by the actuator and in a case where the abnormality in part of the shift position detection means is detected by the abnormality detecting means, permits the actuator to release the prevention of the movement of the vehicle if it is determined by the shift-operation determining means that the shift operating device is shift-operated by the driver, the shift-operation determining means determining that the shift operating device is shift-operated by the driver if the shift position changes from a predefined pre-operation position to a position other than the pre-operation position after the abnormality in part of the shift position detection means is detected by the abnormality detecting means, wherein in a case where all of the shift position detection means is normal, if a stay time at the shift position for a neutral range reaches or exceeds a predetermined neutral range settling time, then switching being made to the neutral range, the vehicle movement prevention control means permitting the actuator to release the prevention of the movement of the vehicle if a predetermined time shorter than the predetermined neutral range settling time has elapsed from a time when the shift operating device is shift-operated by the driver, and in a case where the shift position detection means determined to be abnormal by the abnormality detecting means returns to normal before the elapse of the predetermined time from the time when the shift operating device is shift-operated by the driver, the vehicle movement prevention control means permitting the actuator to release the prevention of the movement of the vehicle if the shift position detected by the shift position detection means is a predetermined shift position to release the prevention of the movement of the vehicle.",0.4980087289496507,0.9960174578993016,0,high,"This patent claim describes a vehicle control system designed to prevent vehicle movement and manage shifting operations. It focuses on safety and reliability, not directly on sustainability, renewable energy, emission reduction, climate mitigation, or environmental protection. The claim details mechanisms for responding to abnormal shift position detection, which relates to vehicle control, but doesn't address any green technology aspects.",,,
9764760,"1. A vehicle steering device, comprising: a steering unit that performs an operation for steering a vehicle; a turning mechanism that turns a wheel of the vehicle while the turning mechanism is not coupled with the steering unit; a clutch mechanism that connects and disconnects the steering unit and the turning mechanism, wherein the vehicle steering device includes a steer-by-wire mode and an electronic-power-steering mode, wherein in the steer-by-wire mode, the clutch mechanism is disconnected, and in the electronic-power-steering mode, the clutch mechanism is connected, and wherein the steer-by-wire mode has a variable angle ratio which is a ratio of the turning angle to the steering angle and is variably set in accordance with a vehicle speed; a steering angle detection unit that detects a steering angle of the steering unit; and a turning angle control unit that controls a turning angle of the turning mechanism so as to be a turning angle in accordance with the steering angle detected by the steering angle detection unit in the steer-by-wire mode, wherein, when the vehicle is powered-on, the vehicle steering device is set to the steer-by-wire mode, the turning angle control unit sets the variable angle ratio to a first value which is smaller than an angle ratio of the electronic-power-steering mode.",0.5021139608913858,0.9957720782172284,1,medium,"This claim describes a “steer-by-wire mode” and “electronic-power-steering mode” for a vehicle steering device, suggesting a shift towards electronic control and potentially reduced mechanical components. The variable angle ratio adjusted by vehicle speed indicates an attempt to optimize steering performance and efficiency, aligning with sustainability goals by potentially reducing energy consumption. Furthermore, the focus on electronic control and adjusting the ratio based on speed could contribute to emission reduction through improved vehicle dynamics.",,,
9005406,"1. A method for producing a photoreactive change in a medium to be treated, comprising: (1) placing an energy modulation agent into the medium to be treated; (2) delivering a beam of x-rays, gamma rays, or electrons to at least one preselected coordinate in the medium in order to emit from said energy modulation agent into the medium to be treated at least one of ultraviolet and visible light; and (3) inducing, from said at least one of ultraviolet and visible light emitted into the medium to be treated, said photoreactive change to the medium, wherein said inducing said photoreactive change to the medium comprises:",0.4977915552595123,0.9955831105190248,1,medium,"This claim describes a method utilizing x-rays, gamma rays, or electrons to generate ultraviolet and visible light, which then induces a “photoreactive change” in a medium. The use of energy beams and light generation to alter a material aligns with concepts of renewable energy (specifically, utilizing radiation) and environmental protection (through a targeted change to a medium). While not explicitly stated, the process could be applied to remediation or treatment, fitting within the broader scope of sustainability.",,,
